StateFIPS,State,CensusTract,Census Tract,Year,Value,Data Comment
48,Texas,48029151302,"Bexar County, TX - 48029151302",2015,50%,
48,Texas,48029151400,"Bexar County, TX - 48029151400",2015,3%,
48,Texas,48029151500,"Bexar County, TX - 48029151500",2015,98%,
48,Texas,48029151600,"Bexar County, TX - 48029151600",2015,72%,
48,Texas,48029151700,"Bexar County, TX - 48029151700",2015,39%,
48,Texas,48029151900,"Bexar County, TX - 48029151900",2015,19%,
48,Texas,48029152000,"Bexar County, TX - 48029152000",2015,49%,
48,Texas,48029152100,"Bexar County, TX - 48029152100",2015,9%,
48,Texas,48029152201,"Bexar County, TX - 48029152201",2015,5%,
48,Texas,48029152202,"Bexar County, TX - 48029152202",2015,0%,
48,Texas,48029160100,"Bexar County, TX - 48029160100",2015,100%,
48,Texas,48029160200,"Bexar County, TX - 48029160200",2015,100%,
48,Texas,48029160300,"Bexar County, TX - 48029160300",2015,99%,
48,Texas,48029160400,"Bexar County, TX - 48029160400",2015,98%,
48,Texas,48029160501,"Bexar County, TX - 48029160501",2015,100%,
48,Texas,48029160502,"Bexar County, TX - 48029160502",2015,95%,
48,Texas,48029160600,"Bexar County, TX - 48029160600",2015,40%,
48,Texas,48029160701,"Bexar County, TX - 48029160701",2015,0%,
48,Texas,48029160702,"Bexar County, TX - 48029160702",2015,73%,
48,Texas,48029160901,"Bexar County, TX - 48029160901",2015,68%,
48,Texas,48029160902,"Bexar County, TX - 48029160902",2015,73%,
48,Texas,48029161000,"Bexar County, TX - 48029161000",2015,29%,
48,Texas,48029161100,"Bexar County, TX - 48029161100",2015,35%,
48,Texas,48029161200,"Bexar County, TX - 48029161200",2015,11%,
48,Texas,48029161302,"Bexar County, TX - 48029161302",2015,27%,
48,Texas,48029161303,"Bexar County, TX - 48029161303",2015,63%,
48,Texas,48029161304,"Bexar County, TX - 48029161304",2015,66%,
48,Texas,48029161400,"Bexar County, TX - 48029161400",2015,50%,
48,Texas,48029161501,"Bexar County, TX - 48029161501",2015,89%,
48,Texas,48029161503,"Bexar County, TX - 48029161503",2015,69%,
48,Texas,48029161504,"Bexar County, TX - 48029161504",2015,70%,
48,Texas,48029161600,"Bexar County, TX - 48029161600",2015,54%,
48,Texas,48029161801,"Bexar County, TX - 48029161801",2015,52%,
48,Texas,48029161802,"Bexar County, TX - 48029161802",2015,3%,
48,Texas,48029161901,"Bexar County, TX - 48029161901",2015,0%,
48,Texas,48029161902,"Bexar County, TX - 48029161902",2015,0%,
48,Texas,48029162001,"Bexar County, TX - 48029162001",2015,1%,
48,Texas,48029162003,"Bexar County, TX - 48029162003",2015,0%,
48,Texas,48029162004,"Bexar County, TX - 48029162004",2015,0%,
48,Texas,48029170101,"Bexar County, TX - 48029170101",2015,100%,
48,Texas,48029170102,"Bexar County, TX - 48029170102",2015,97%,
48,Texas,48029170200,"Bexar County, TX - 48029170200",2015,95%,
48,Texas,48029170300,"Bexar County, TX - 48029170300",2015,100%,
48,Texas,48029170401,"Bexar County, TX - 48029170401",2015,89%,
48,Texas,48029170402,"Bexar County, TX - 48029170402",2015,92%,
48,Texas,48029170500,"Bexar County, TX - 48029170500",2015,88%,
48,Texas,48029170600,"Bexar County, TX - 48029170600",2015,48%,
48,Texas,48029170700,"Bexar County, TX - 48029170700",2015,68%,
48,Texas,48029170800,"Bexar County, TX - 48029170800",2015,100%,
48,Texas,48029170900,"Bexar County, TX - 48029170900",2015,94%,
48,Texas,48029171000,"Bexar County, TX - 48029171000",2015,34%,
48,Texas,48029171100,"Bexar County, TX - 48029171100",2015,86%,
48,Texas,48029171200,"Bexar County, TX - 48029171200",2015,90%,
48,Texas,48029171301,"Bexar County, TX - 48029171301",2015,80%,
48,Texas,48029171302,"Bexar County, TX - 48029171302",2015,1%,
48,Texas,48029171401,"Bexar County, TX - 48029171401",2015,26%,
48,Texas,48029171402,"Bexar County, TX - 48029171402",2015,62%,
48,Texas,48029171501,"Bexar County, TX - 48029171501",2015,39%,
48,Texas,48029171502,"Bexar County, TX - 48029171502",2015,100%,
48,Texas,48029171601,"Bexar County, TX - 48029171601",2015,89%,
48,Texas,48029171602,"Bexar County, TX - 48029171602",2015,60%,
48,Texas,48029171700,"Bexar County, TX - 48029171700",2015,54%,
48,Texas,48029171801,"Bexar County, TX - 48029171801",2015,100%,
48,Texas,48029171802,"Bexar County, TX - 48029171802",2015,43%,
48,Texas,48029171902,"Bexar County, TX - 48029171902",2015,42%,
48,Texas,48029171903,"Bexar County, TX - 48029171903",2015,89%,
48,Texas,48029171912,"Bexar County, TX - 48029171912",2015,5%,
48,Texas,48029171913,"Bexar County, TX - 48029171913",2015,60%,
48,Texas,48029171914,"Bexar County, TX - 48029171914",2015,72%,
48,Texas,48029171915,"Bexar County, TX - 48029171915",2015,100%,
48,Texas,48029171916,"Bexar County, TX - 48029171916",2015,38%,
48,Texas,48029171917,"Bexar County, TX - 48029171917",2015,22%,
48,Texas,48029171918,"Bexar County, TX - 48029171918",2015,0%,
48,Texas,48029171919,"Bexar County, TX - 48029171919",2015,0%,
48,Texas,48029171920,"Bexar County, TX - 48029171920",2015,63%,
48,Texas,48029171921,"Bexar County, TX - 48029171921",2015,0%,
48,Texas,48029171922,"Bexar County, TX - 48029171922",2015,38%,
48,Texas,48029171923,"Bexar County, TX - 48029171923",2015,12%,
48,Texas,48029171924,"Bexar County, TX - 48029171924",2015,0%,
48,Texas,48029171925,"Bexar County, TX - 48029171925",2015,36%,
48,Texas,48029172002,"Bexar County, TX - 48029172002",2015,2%,
48,Texas,48029172003,"Bexar County, TX - 48029172003",2015,12%,
48,Texas,48029172004,"Bexar County, TX - 48029172004",2015,0%,
48,Texas,48029172005,"Bexar County, TX - 48029172005",2015,31%,
48,Texas,48029172006,"Bexar County, TX - 48029172006",2015,6%,
48,Texas,48029172007,"Bexar County, TX - 48029172007",2015,15%,
48,Texas,48029180101,"Bexar County, TX - 48029180101",2015,91%,
48,Texas,48029180102,"Bexar County, TX - 48029180102",2015,87%,
48,Texas,48029180201,"Bexar County, TX - 48029180201",2015,57%,
48,Texas,48029180202,"Bexar County, TX - 48029180202",2015,84%,
48,Texas,48029180300,"Bexar County, TX - 48029180300",2015,100%,
48,Texas,48029180400,"Bexar County, TX - 48029180400",2015,57%,
48,Texas,48029180501,"Bexar County, TX - 48029180501",2015,59%,
48,Texas,48029180503,"Bexar County, TX - 48029180503",2015,60%,
48,Texas,48029180504,"Bexar County, TX - 48029180504",2015,71%,
48,Texas,48029180602,"Bexar County, TX - 48029180602",2015,96%,
48,Texas,48029180603,"Bexar County, TX - 48029180603",2015,32%,
48,Texas,48029180604,"Bexar County, TX - 48029180604",2015,81%,
48,Texas,48029180701,"Bexar County, TX - 48029180701",2015,80%,
48,Texas,48029180702,"Bexar County, TX - 48029180702",2015,0%,
48,Texas,48029180800,"Bexar County, TX - 48029180800",2015,87%,
48,Texas,48029180901,"Bexar County, TX - 48029180901",2015,99%,
48,Texas,48029180902,"Bexar County, TX - 48029180902",2015,76%,
48,Texas,48029181001,"Bexar County, TX - 48029181001",2015,43%,
48,Texas,48029181003,"Bexar County, TX - 48029181003",2015,5%,
48,Texas,48029181004,"Bexar County, TX - 48029181004",2015,91%,
48,Texas,48029181005,"Bexar County, TX - 48029181005",2015,86%,
48,Texas,48029181100,"Bexar County, TX - 48029181100",2015,4%,
48,Texas,48029181200,"Bexar County, TX - 48029181200",2015,14%,
48,Texas,48029181301,"Bexar County, TX - 48029181301",2015,41%,
48,Texas,48029181302,"Bexar County, TX - 48029181302",2015,5%,
48,Texas,48029181303,"Bexar County, TX - 48029181303",2015,0%,
48,Texas,48029181402,"Bexar County, TX - 48029181402",2015,2%,
48,Texas,48029181403,"Bexar County, TX - 48029181403",2015,0%,
48,Texas,48029181404,"Bexar County, TX - 48029181404",2015,0%,
48,Texas,48029181503,"Bexar County, TX - 48029181503",2015,10%,
48,Texas,48029181504,"Bexar County, TX - 48029181504",2015,0%,
48,Texas,48029181505,"Bexar County, TX - 48029181505",2015,46%,
48,Texas,48029181506,"Bexar County, TX - 48029181506",2015,53%,
48,Texas,48029181601,"Bexar County, TX - 48029181601",2015,8%,
48,Texas,48029181602,"Bexar County, TX - 48029181602",2015,52%,
48,Texas,48029181703,"Bexar County, TX - 48029181703",2015,80%,
48,Texas,48029181704,"Bexar County, TX - 48029181704",2015,91%,
48,Texas,48029181705,"Bexar County, TX - 48029181705",2015,75%,
48,Texas,48029181711,"Bexar County, TX - 48029181711",2015,49%,
48,Texas,48029181712,"Bexar County, TX - 48029181712",2015,26%,
48,Texas,48029181713,"Bexar County, TX - 48029181713",2015,83%,
48,Texas,48029181715,"Bexar County, TX - 48029181715",2015,0%,
